id,version,method,target_x,target_y,sourceCenter_x,sourceCenter_y,sourceRadius,source_x,source_y,visited
achiran-083,0.0.3,A*,1373,936,1655,1186,366,1425,914,651
achiran-083,0.0.3,BFS,1373,936,1655,1186,366,1424,915,6636
achiran-084,0.0.3,A*,174,789,351,770,81,272,787,431
achiran-084,0.0.3,BFS,174,789,351,770,81,272,787,16327
achiran-085,0.0.3,BFS,617,296,616,559,97,520,560,499348
achiran-086,0.0.3,A*,841,225,1044,242,187,859,258,397
achiran-086,0.0.3,BFS,841,225,1044,242,187,858,258,3324
achiran-087,0.0.3,A*,1802,938,1794,526,350,1879,864,3621
achiran-088,0.0.3,A*,1925,682,1691,1214,435,1918,843,2023
achiran-088,0.0.3,BFS,1925,682,1691,1214,435,1918,843,18398
achiran-089,0.0.3,A*,1531,1518,1816,1209,353,1565,1456,781
achiran-089,0.0.3,BFS,1531,1518,1816,1209,353,1564,1456,9182
achiran-090,0.0.3,A*,1794,435,1860,872,46,1903,856,69737
achiran-090,0.0.3,BFS,1794,435,1860,872,46,1902,857,127752
achiran-091,0.0.3,A*,1430,166,1867,274,380,1509,150,1330
achiran-091,0.0.3,BFS,1430,166,1867,274,380,1509,147,9660
achiran-092,0.0.3,A*,903,488,611,160,239,501,372,533350
achiran-092,0.0.3,BFS,903,488,611,160,239,501,372,674155
achiran-093,0.0.3,A*,1160,118,819,845,325,659,690,1490550
achiran-093,0.0.3,BFS,1160,118,819,845,325,501,779,758830
achiran-094,0.0.3,A*,834,848,917,1154,79,978,1199,589439
achiran-094,0.0.3,BFS,834,848,917,1154,79,979,1201,676925
achiran-095,0.0.3,BFS,1352,89,1806,350,285,1716,80,100894
achiran-096,0.0.3,A*,1050,217,563,336,266,792,201,1419
achiran-096,0.0.3,BFS,1050,217,563,336,266,792,201,65994
achiran-097,0.0.3,A*,262,800,821,525,387,539,790,5790
achiran-097,0.0.3,BFS,262,800,821,525,387,540,789,146286
achiran-098,0.0.3,A*,1590,1447,1499,1593,69,1527,1530,1302
achiran-098,0.0.3,BFS,1590,1447,1499,1593,69,1527,1530,25139
achiran-099,0.0.3,A*,1188,1162,917,886,330,1180,1049,4899
achiran-099,0.0.3,BFS,1188,1162,917,886,330,1182,1082,13877
achiran-100,0.0.3,A*,1957,535,1869,1037,336,1930,707,4210
achiran-100,0.0.3,BFS,1957,535,1869,1037,336,1931,707,45629
africa-001,0.0.3,A*,1210,1826,876,1409,418,1075,1776,1092
africa-001,0.0.3,BFS,1210,1826,876,1409,418,1076,1776,687
africa-002,0.0.3,BFS,905,991,1356,988,375,987,1053,145
africa-003,0.0.3,BFS,953,0,1447,61,71,1378,46,102806
africa-004,0.0.3,A*,1044,921,973,1230,275,1025,960,210
africa-004,0.0.3,BFS,1044,921,973,1230,275,1025,960,125
africa-005,0.0.3,A*,1691,1043,1607,1437,166,1614,1273,1821
africa-005,0.0.3,BFS,1691,1043,1607,1437,166,1614,1272,73827
africa-006,0.0.3,A*,1119,932,1255,959,20,1236,957,478
africa-006,0.0.3,BFS,1119,932,1255,959,20,1237,959,493
africa-007,0.0.3,A*,1337,5,1844,226,375,1481,154,6276
africa-007,0.0.3,BFS,1337,5,1844,226,375,1506,68,58401
africa-008,0.0.3,A*,1667,940,1678,1081,73,1678,1009,365
africa-008,0.0.3,BFS,1667,940,1678,1081,73,1678,1009,223
africa-009,0.0.3,A*,1541,1309,1433,846,380,1606,1177,1618
africa-009,0.0.3,BFS,1541,1309,1433,846,380,1602,1186,9099
africa-010,0.0.3,A*,986,1063,1204,1832,432,855,1578,11856
africa-010,0.0.3,BFS,986,1063,1204,1832,432,855,1578,136552
africa-011,0.0.3,A*,1016,678,536,638,446,979,658,385
africa-011,0.0.3,BFS,1016,678,536,638,446,981,659,1738
africa-012,0.0.3,BFS,1415,421,1324,1090,391,1417,711,56175
africa-013,0.0.3,BFS,553,667,910,895,53,893,845,64641
africa-015,0.0.3,A*,1910,248,1711,138,194,1880,231,331
africa-015,0.0.3,BFS,1910,248,1711,138,194,1880,233,1754
africa-016,0.0.3,A*,1389,1079,1384,1328,39,1362,1297,11641
africa-016,0.0.3,BFS,1389,1079,1384,1328,39,1362,1297,9453
africa-017,0.0.3,A*,1151,1465,1125,2000,138,1261,1984,139233
africa-017,0.0.3,BFS,1151,1465,1125,2000,138,1262,1984,300503
africa-018,0.0.3,A*,406,631,372,885,46,409,912,22749
africa-018,0.0.3,BFS,406,631,372,885,46,405,913,90501
africa-019,0.0.3,A*,414,14,346,108,94,371,18,321
africa-019,0.0.3,BFS,414,14,346,108,94,376,19,88
africa-020,0.0.3,A*,1210,1826,938,1817,148,1079,1852,924
africa-020,0.0.3,BFS,1210,1826,938,1817,148,1082,1851,391
africa-021,0.0.3,A*,1530,0,1166,15,185,1339,62,3478
africa-021,0.0.3,BFS,1530,0,1166,15,185,1345,61,12513
africa-022,0.0.3,BFS,1360,192,1576,30,235,1417,203,6884
africa-023,0.0.3,A*,64,433,537,654,460,80,605,2640
africa-023,0.0.3,BFS,64,433,537,654,460,80,605,40600
africa-024,0.0.3,A*,1403,1696,1098,1246,394,1398,1501,11797
africa-024,0.0.3,BFS,1403,1696,1098,1246,394,1404,1493,160212
africa-025,0.0.3,A*,1457,1084,1767,1603,256,1601,1520,1767157
africa-025,0.0.3,BFS,1457,1084,1767,1603,256,1512,1581,1472063
africa-026,0.0.3,A*,780,32,1377,246,492,934,33,2055
africa-026,0.0.3,BFS,780,32,1377,246,492,927,49,18553
africa-027,0.0.3,A*,1392,1074,1489,1532,225,1393,1330,14416
africa-027,0.0.3,BFS,1392,1074,1489,1532,225,1388,1331,10100
africa-028,0.0.3,A*,1571,1449,1362,984,499,1570,1373,6442
africa-028,0.0.3,BFS,1571,1449,1362,984,499,1631,1404,1253
africa-029,0.0.3,A*,1371,464,1461,721,259,1356,485,133
africa-029,0.0.3,BFS,1371,464,1461,721,259,1356,485,77
africa-030,0.0.3,A*,1253,1886,1491,1705,179,1395,1856,82266
africa-030,0.0.3,BFS,1253,1886,1491,1705,179,1395,1856,396615
africa-031,0.0.3,BFS,740,922,826,939,33,797,953,5678
africa-032,0.0.3,A*,1879,1401,1388,1006,407,1617,1340,1744
africa-032,0.0.3,BFS,1879,1401,1388,1006,407,1618,1340,107735
africa-033,0.0.3,BFS,1574,0,1703,60,31,1710,90,6881
africa-034,0.0.3,A*,1478,246,1374,800,482,1450,325,691
africa-034,0.0.3,BFS,1478,246,1374,800,482,1450,325,2297
africa-035,0.0.3,A*,1470,182,1605,493,20,1594,477,12858
africa-035,0.0.3,BFS,1470,182,1605,493,20,1594,477,90082
africa-036,0.0.3,A*,1017,802,660,904,318,943,784,1006
africa-036,0.0.3,BFS,1017,802,660,904,318,944,761,313
africa-037,0.0.3,A*,1396,1062,1492,782,269,1426,1041,304
africa-037,0.0.3,BFS,1396,1062,1492,782,269,1427,1043,2515
africa-038,0.0.3,A*,1657,554,1514,947,321,1648,657,1033
africa-038,0.0.3,BFS,1657,554,1514,947,321,1649,657,11417
africa-039,0.0.3,A*,1889,28,1519,31,350,1868,23,160
africa-039,0.0.3,BFS,1889,28,1519,31,350,1868,23,711
africa-040,0.0.3,A*,1311,1144,777,1102,496,1255,1228,2532
africa-040,0.0.3,BFS,1311,1144,777,1102,496,1258,1220,2578
africa-041,0.0.3,A*,1430,267,1497,307,11,1491,298,801
africa-041,0.0.3,BFS,1430,267,1497,307,11,1491,298,1951
africa-042,0.0.3,A*,1014,689,913,1195,34,889,1218,39262
africa-042,0.0.3,BFS,1014,689,913,1195,34,889,1218,200669
africa-043,0.0.3,A*,566,887,699,847,67,657,898,995
africa-043,0.0.3,BFS,566,887,699,847,67,657,898,10032
africa-044,0.0.3,A*,1501,950,1384,933,93,1369,870,3723
africa-044,0.0.3,BFS,1501,950,1384,933,93,1358,844,1065
africa-045,0.0.3,A*,1133,756,874,714,201,1050,811,375
africa-045,0.0.3,BFS,1133,756,874,714,201,1050,811,154
africa-046,0.0.3,BFS,479,590,662,812,198,539,657,268
africa-047,0.0.3,BFS,1571,1449,1606,1073,342,1634,1413,548
africa-048,0.0.3,A*,942,5,579,60,209,785,32,1159
africa-048,0.0.3,BFS,942,5,579,60,209,786,32,31260
africa-049,0.0.3,A*,1740,1393,1723,1643,200,1740,1507,408
africa-049,0.0.3,BFS,1740,1393,1723,1643,200,1742,1507,26901
africa-050,0.0.3,A*,1311,1120,1306,1317,32,1308,1287,3365
africa-050,0.0.3,BFS,1311,1120,1306,1317,32,1308,1286,4747
africa-051,0.0.3,BFS,150,627,328,931,317,174,654,105
africa-052,0.0.3,A*,1136,1870,1251,1944,116,1169,1862,268
africa-052,0.0.3,BFS,1136,1870,1251,1944,116,1169,1862,122
africa-053,0.0.3,A*,1213,1074,1294,1315,147,1241,1178,416
africa-053,0.0.3,BFS,1213,1074,1294,1315,147,1239,1180,348
africa-054,0.0.3,BFS,923,1190,992,1154,52,944,1172,84
africa-055,0.0.3,BFS,1181,1539,1504,1565,239,1266,1550,342
africa-056,0.0.3,A*,1501,60,1252,22,224,1473,46,295
africa-056,0.0.3,BFS,1501,60,1252,22,224,1474,46,1397
africa-058,0.0.3,BFS,1069,173,1595,73,325,1298,204,72699
africa-059,0.0.3,A*,1165,840,1427,1128,257,1236,957,1222
africa-059,0.0.3,BFS,1165,840,1427,1128,257,1235,958,513
africa-060,0.0.3,A*,896,908,495,824,316,772,953,772
africa-060,0.0.3,BFS,896,908,495,824,316,780,960,277
africa-061,0.0.3,A*,1683,42,1692,128,19,1707,138,2529
africa-061,0.0.3,BFS,1683,42,1692,128,19,1708,138,3906
africa-062,0.0.3,BFS,243,202,229,686,368,122,334,61035
africa-063,0.0.3,BFS,1731,1027,1417,1769,403,1633,1429,156453
africa-064,0.0.3,A*,315,129,158,291,35,191,282,2514
africa-064,0.0.3,BFS,315,129,158,291,35,191,282,55412
africa-065,0.0.3,A*,621,43,465,34,111,573,52,335
africa-065,0.0.3,BFS,621,43,465,34,111,574,52,3352
africa-066,0.0.3,A*,1222,1087,1604,1441,424,1258,1241,1177
africa-066,0.0.3,BFS,1222,1087,1604,1441,424,1258,1196,368
africa-067,0.0.3,A*,1231,1144,1428,1568,395,1257,1212,322
africa-067,0.0.3,BFS,1231,1144,1428,1568,395,1259,1211,218
africa-068,0.0.3,A*,952,1448,1330,1851,196,1135,1870,17705
africa-068,0.0.3,BFS,952,1448,1330,1851,196,1135,1870,546570
africa-069,0.0.3,A*,1828,946,1354,1016,246,1594,1063,7716
africa-069,0.0.3,BFS,1828,946,1354,1016,246,1595,1063,139376
africa-070,0.0.3,A*,314,167,347,108,55,339,162,149
africa-070,0.0.3,BFS,314,167,347,108,55,338,162,68
africa-071,0.0.3,A*,259,919,758,729,461,341,918,2325
africa-071,0.0.3,BFS,259,919,758,729,461,342,926,16679
africa-072,0.0.3,A*,1829,150,1685,41,176,1824,145,75
africa-072,0.0.3,BFS,1829,150,1685,41,176,1825,147,14
africa-073,0.0.3,A*,1613,1196,1312,1116,277,1570,1195,345
africa-073,0.0.3,BFS,1613,1196,1312,1116,277,1574,1203,4623
africa-074,0.0.3,BFS,1411,429,1229,1103,270,1375,876,113699
africa-075,0.0.3,BFS,1260,960,1122,896,131,1237,957,98
africa-076,0.0.3,A*,901,817,422,895,434,843,800,295
africa-076,0.0.3,BFS,901,817,422,895,434,845,798,219
africa-077,0.0.3,A*,1451,1399,1322,1034,375,1460,1381,174
africa-077,0.0.3,BFS,1451,1399,1322,1034,375,1460,1382,525
africa-078,0.0.3,A*,64,273,575,52,390,237,246,1159
africa-078,0.0.3,BFS,64,273,575,52,390,237,246,48579
africa-079,0.0.3,A*,1160,808,578,702,301,759,932,48310
africa-079,0.0.3,BFS,1160,808,578,702,301,760,941,154501
africa-080,0.0.3,A*,1115,1311,1489,1717,390,1219,1998,888418
africa-080,0.0.3,BFS,1115,1311,1489,1717,390,1297,1378,482303
africa-081,0.0.3,A*,1220,1007,774,788,481,1193,1024,169
africa-081,0.0.3,BFS,1220,1007,774,788,481,1192,1025,94
africa-082,0.0.3,A*,345,89,403,663,464,273,218,2410
africa-082,0.0.3,BFS,345,89,403,663,464,250,225,40372
africa-083,0.0.3,A*,964,654,972,1565,489,775,1118,38014
africa-083,0.0.3,BFS,964,654,972,1565,489,776,1117,76152
africa-084,0.0.3,BFS,514,611,610,884,141,622,744,1154
africa-085,0.0.3,BFS,992,725,856,1075,292,964,804,10190
africa-086,0.0.3,A*,1414,1011,1243,1287,226,1400,1127,1461
africa-086,0.0.3,BFS,1414,1011,1243,1287,226,1401,1127,5502
africa-087,0.0.3,A*,1146,1580,1373,1862,231,1493,1680,7576
africa-087,0.0.3,BFS,1146,1580,1373,1862,231,1486,1661,14505
africa-088,0.0.3,A*,1052,917,836,1019,185,1018,987,304
africa-088,0.0.3,BFS,1052,917,836,1019,185,1018,987,229
africa-089,0.0.3,A*,935,1804,1050,1853,78,973,1844,623
africa-089,0.0.3,BFS,935,1804,1050,1853,78,973,1846,8963
africa-090,0.0.3,BFS,66,524,411,916,65,347,923,217246
africa-091,0.0.3,A*,1245,1182,1789,987,494,1316,1127,1726
africa-091,0.0.3,BFS,1245,1182,1789,987,494,1316,1129,3423
africa-093,0.0.3,A*,1444,1506,1187,1555,197,1375,1500,336
africa-093,0.0.3,BFS,1444,1506,1187,1555,197,1376,1500,381
africa-094,0.0.3,A*,95,387,68,503,23,53,486,1499
africa-094,0.0.3,BFS,95,387,68,503,23,53,487,22295
africa-095,0.0.3,A*,1230,1136,1671,1089,274,1415,1010,13629
africa-095,0.0.3,BFS,1230,1136,1671,1089,274,1407,1017,6701
africa-096,0.0.3,A*,537,652,489,917,68,550,891,8219
africa-096,0.0.3,BFS,537,652,489,917,68,551,891,32605
africa-097,0.0.3,A*,1720,106,1851,187,47,1805,178,638
africa-097,0.0.3,BFS,1720,106,1851,187,47,1806,176,393
africa-098,0.0.3,A*,1695,622,1425,278,435,1695,618,66
africa-098,0.0.3,BFS,1695,622,1425,278,435,1695,619,20
africa-099,0.0.3,A*,645,699,829,802,85,801,722,1021
africa-099,0.0.3,BFS,645,699,829,802,85,801,722,863
africa-100,0.0.3,BFS,1380,982,1435,1047,16,1423,1037,1341
asia-001,0.0.3,A*,686,109,334,224,267,507,108,457
asia-001,0.0.3,BFS,686,109,334,224,267,508,109,51489
asia-002,0.0.3,BFS,1652,231,1800,364,164,1707,229,3134
asia-003,0.0.3,A*,1780,245,1051,199,476,1526,209,1564
asia-003,0.0.3,BFS,1780,245,1051,199,476,1526,209,73690
asia-004,0.0.3,A*,1988,305,1525,371,428,1950,335,844
asia-004,0.0.3,BFS,1988,305,1525,371,428,1951,335,1929
asia-006,0.0.3,A*,1233,595,1811,361,419,1478,597,14965
asia-006,0.0.3,BFS,1233,595,1811,361,419,1478,614,67177
asia-007,0.0.3,A*,893,1021,1381,1095,447,939,1042,588
asia-007,0.0.3,BFS,893,1021,1381,1095,447,938,1042,8424
asia-008,0.0.3,A*,298,913,202,1103,140,299,1004,3308
asia-008,0.0.3,BFS,298,913,202,1103,140,299,1004,14645
asia-009,0.0.3,A*,1529,370,947,974,271,1165,814,12787
asia-009,0.0.3,BFS,1529,370,947,974,271,1164,815,413207
asia-010,0.0.3,BFS,775,850,948,1112,241,887,879,16553
asia-011,0.0.3,BFS,1222,762,1207,964,26,1217,941,41505
asia-012,0.0.3,A*,1510,1129,1233,751,465,1503,1126,75
asia-012,0.0.3,BFS,1510,1129,1233,751,465,1505,1127,34
asia-013,0.0.3,A*,1272,1001,1618,1158,341,1306,1035,615
asia-013,0.0.3,BFS,1272,1001,1618,1158,341,1306,1035,4771
asia-014,0.0.3,BFS,1057,832,1196,794,66,1138,822,6370
asia-015,0.0.3,BFS,1005,1151,915,1027,150,1001,1149,29
asia-016,0.0.3,A*,603,859,1002,1055,301,704,1019,8661
asia-016,0.0.3,BFS,603,859,1002,1055,301,704,1019,56646
asia-017,0.0.3,A*,1306,1035,1564,1198,263,1332,1075,493
